Year,Season,Rk,Team,G,Pts/G,TotPts,Yds,Net Yds,Lng,Avg,Net Avg,Blk,Punts,OOB,Dn,TB,FC,Ret,IN 20,RetY,TD
2016,Reg,1,Los Angeles Rams,16,14,224,"4,680","4,508",78,47.8,46,0,98,11,11,1,40,35,51,152,0
2016,Reg,2,San Francisco 49ers,16,19.3,309,"4,402","3,977",65,44,39.8,0,100,4,11,4,41,40,28,345,0
2016,Reg,3,New York Giants,16,19.4,310,"4,297","3,807",63,46.2,40.9,0,93,12,20,8,16,37,28,330,0
2016,Reg,4,Denver Broncos,16,20.8,333,"4,068","3,677",68,45.7,41.3,0,89,6,12,6,25,40,28,271,0
2016,Reg,5,Miami Dolphins,16,22.7,363,"3,991","3,591",66,44.3,39.9,0,90,7,15,5,26,37,32,300,0
2016,Reg,6,Oakland Raiders,16,26,416,"3,937","3,352",72,48.6,41.4,0,81,11,13,9,15,33,34,405,1
2016,Reg,7,Cleveland Browns,16,16.5,264,"3,761","3,345",65,45.3,40.3,0,83,4,9,2,23,45,22,376,0
2016,Reg,8,Baltimore Ravens,16,21.4,343,"3,665","3,190",68,45.8,39.9,0,80,18,10,5,14,33,37,375,1
2016,Reg,9,Cincinnati Bengals,16,20.3,325,"3,613","3,084",72,46.3,39.5,0,78,4,8,8,20,38,23,369,0
2016,Reg,10,Jacksonville Jaguars,16,19.9,318,"3,589","3,040",78,46.6,39.5,0,77,5,14,8,19,31,27,389,1
2016,Reg,11,Carolina Panthers,16,23.1,369,"3,480","2,937",76,45.8,38.6,0,76,1,14,8,13,40,31,383,1
2016,Reg,12,Kansas City Chiefs,16,24.3,389,"3,427","3,090",64,45.1,40.7,0,76,4,6,9,27,30,38,157,0
2016,Reg,13,Houston Texans,16,17.4,279,"3,423","2,886",62,47.5,40.1,0,72,5,3,3,13,48,30,477,1
2016,Reg,14,Tennessee Titans,16,23.8,381,"3,402","2,975",71,44.2,38.6,0,77,4,6,4,27,36,32,347,2
